transaction_id,timestamp,sender_upi,receiver_upi,amount,status,type
UPI-TXN-1001,2026-02-02T10:15:00Z,customer_1@oksbi,priyatextiles@okhdfcbank,1914,SUCCESS,CREDIT
UPI-TXN-1002,2026-02-03T11:15:00Z,customer_2@oksbi,priyatextiles@okhdfcbank,2378,SUCCESS,CREDIT
UPI-TXN-1003,2026-02-04T12:15:00Z,customer_3@oksbi,priyatextiles@okhdfcbank,2842,SUCCESS,CREDIT
UPI-TXN-1004,2026-02-05T13:15:00Z,customer_4@oksbi,priyatextiles@okhdfcbank,3306,SUCCESS,CREDIT
UPI-TXN-1005,2026-02-06T14:15:00Z,customer_5@oksbi,priyatextiles@okhdfcbank,3770,SUCCESS,CREDIT
UPI-TXN-1006,2026-02-07T15:15:00Z,customer_6@oksbi,priyatextiles@okhdfcbank,4234,SUCCESS,CREDIT
UPI-TXN-1007,2026-02-08T16:15:00Z,customer_7@oksbi,priyatextiles@okhdfcbank,4075,SUCCESS,CREDIT
UPI-TXN-1008,2026-02-09T17:15:00Z,customer_8@oksbi,priyatextiles@okhdfcbank,4539,SUCCESS,CREDIT
UPI-TXN-1009,2026-02-10T18:15:00Z,customer_9@oksbi,priyatextiles@okhdfcbank,5003,SUCCESS,CREDIT
UPI-TXN-1010,2026-02-11T19:15:00Z,customer_10@oksbi,priyatextiles@okhdfcbank,5467,SUCCESS,CREDIT
UPI-TXN-1011,2026-02-12T20:15:00Z,customer_11@oksbi,priyatextiles@okhdfcbank,5931,SUCCESS,CREDIT
UPI-TXN-1012,2026-02-13T09:15:00Z,customer_12@oksbi,priyatextiles@okhdfcbank,6395,SUCCESS,CREDIT
UPI-TXN-1013,2026-02-14T10:15:00Z,customer_13@oksbi,priyatextiles@okhdfcbank,6859,SUCCESS,CREDIT
UPI-TXN-1014,2026-02-15T11:15:00Z,customer_14@oksbi,priyatextiles@okhdfcbank,6700,SUCCESS,CREDIT
UPI-TXN-1015,2026-02-16T12:15:00Z,customer_15@oksbi,priyatextiles@okhdfcbank,7164,SUCCESS,CREDIT
UPI-TXN-1016,2026-02-17T13:15:00Z,customer_16@oksbi,priyatextiles@okhdfcbank,7628,SUCCESS,CREDIT
UPI-TXN-1017,2026-02-18T14:15:00Z,customer_17@oksbi,priyatextiles@okhdfcbank,8092,SUCCESS,CREDIT
UPI-TXN-1018,2026-02-19T15:15:00Z,customer_18@oksbi,priyatextiles@okhdfcbank,8556,SUCCESS,CREDIT
UPI-TXN-1019,2026-02-20T16:15:00Z,customer_19@oksbi,priyatextiles@okhdfcbank,9020,SUCCESS,CREDIT
UPI-TXN-1020,2026-02-21T17:15:00Z,customer_20@oksbi,priyatextiles@okhdfcbank,9484,SUCCESS,CREDIT
UPI-TXN-1021,2026-02-22T18:15:00Z,customer_21@oksbi,priyatextiles@okhdfcbank,9325,SUCCESS,CREDIT
UPI-TXN-1022,2026-02-23T19:15:00Z,customer_22@oksbi,priyatextiles@okhdfcbank,9789,SUCCESS,CREDIT
UPI-TXN-1023,2026-02-24T20:15:00Z,customer_23@oksbi,priyatextiles@okhdfcbank,10253,SUCCESS,CREDIT
UPI-TXN-1024,2026-02-25T09:15:00Z,customer_24@oksbi,priyatextiles@okhdfcbank,10717,SUCCESS,CREDIT
UPI-TXN-1025,2026-02-26T10:15:00Z,customer_25@oksbi,priyatextiles@okhdfcbank,11181,SUCCESS,CREDIT
UPI-TXN-1026,2026-02-27T11:15:00Z,customer_26@oksbi,priyatextiles@okhdfcbank,11645,SUCCESS,CREDIT
UPI-TXN-1027,2026-02-28T12:15:00Z,customer_27@oksbi,priyatextiles@okhdfcbank,12109,SUCCESS,CREDIT
UPI-TXN-1028,2026-02-01T13:15:00Z,customer_28@oksbi,priyatextiles@okhdfcbank,11950,SUCCESS,CREDIT
UPI-TXN-1029,2026-02-02T14:15:00Z,customer_29@oksbi,priyatextiles@okhdfcbank,12414,SUCCESS,CREDIT
UPI-TXN-1030,2026-02-03T15:15:00Z,customer_30@oksbi,priyatextiles@okhdfcbank,12878,SUCCESS,CREDIT
UPI-TXN-1031,2026-02-04T16:15:00Z,customer_31@oksbi,priyatextiles@okhdfcbank,13342,SUCCESS,CREDIT
UPI-TXN-1032,2026-02-05T17:15:00Z,customer_32@oksbi,priyatextiles@okhdfcbank,13806,SUCCESS,CREDIT
UPI-TXN-1033,2026-02-06T18:15:00Z,customer_33@oksbi,priyatextiles@okhdfcbank,14270,SUCCESS,CREDIT
UPI-TXN-1034,2026-02-07T19:15:00Z,customer_34@oksbi,priyatextiles@okhdfcbank,14734,SUCCESS,CREDIT
UPI-TXN-1035,2026-02-08T20:15:00Z,customer_35@oksbi,priyatextiles@okhdfcbank,14575,SUCCESS,CREDIT
UPI-TXN-1036,2026-02-09T09:15:00Z,customer_36@oksbi,priyatextiles@okhdfcbank,15039,SUCCESS,CREDIT
UPI-TXN-1037,2026-02-10T10:15:00Z,customer_37@oksbi,priyatextiles@okhdfcbank,15503,SUCCESS,CREDIT
UPI-TXN-1038,2026-02-11T11:15:00Z,customer_38@oksbi,priyatextiles@okhdfcbank,15967,SUCCESS,CREDIT
UPI-TXN-1039,2026-02-12T12:15:00Z,customer_39@oksbi,priyatextiles@okhdfcbank,16431,SUCCESS,CREDIT
UPI-TXN-1040,2026-02-13T13:15:00Z,customer_40@oksbi,priyatextiles@okhdfcbank,16895,SUCCESS,CREDIT
