transaction_id,timestamp,sender_upi,receiver_upi,amount,status,type
UPI-REG-101,2026-02-02T10:00:00Z,retail_buyer_1@paytm,ravistores@oksbi,1350,SUCCESS,CREDIT
UPI-REG-102,2026-02-03T10:00:00Z,retail_buyer_2@paytm,ravistores@oksbi,1500,SUCCESS,CREDIT
UPI-REG-103,2026-02-04T10:00:00Z,retail_buyer_3@paytm,ravistores@oksbi,1650,SUCCESS,CREDIT
UPI-REG-104,2026-02-05T10:00:00Z,retail_buyer_4@paytm,ravistores@oksbi,1800,SUCCESS,CREDIT
UPI-REG-105,2026-02-06T10:00:00Z,retail_buyer_5@paytm,ravistores@oksbi,1950,SUCCESS,CREDIT
UPI-REG-106,2026-02-07T10:00:00Z,retail_buyer_6@paytm,ravistores@oksbi,2100,SUCCESS,CREDIT
UPI-REG-107,2026-02-08T10:00:00Z,retail_buyer_7@paytm,ravistores@oksbi,2250,SUCCESS,CREDIT
UPI-REG-108,2026-02-09T10:00:00Z,retail_buyer_8@paytm,ravistores@oksbi,2400,SUCCESS,CREDIT
UPI-REG-109,2026-02-10T10:00:00Z,retail_buyer_9@paytm,ravistores@oksbi,2550,SUCCESS,CREDIT
UPI-REG-110,2026-02-11T10:00:00Z,retail_buyer_10@paytm,ravistores@oksbi,2700,SUCCESS,CREDIT
UPI-REG-111,2026-02-12T10:00:00Z,retail_buyer_11@paytm,ravistores@oksbi,2850,SUCCESS,CREDIT
UPI-REG-112,2026-02-13T10:00:00Z,retail_buyer_12@paytm,ravistores@oksbi,3000,SUCCESS,CREDIT
UPI-REG-113,2026-02-14T10:00:00Z,retail_buyer_13@paytm,ravistores@oksbi,3150,SUCCESS,CREDIT
UPI-REG-114,2026-02-15T10:00:00Z,retail_buyer_14@paytm,ravistores@oksbi,3300,SUCCESS,CREDIT
UPI-REG-115,2026-02-16T10:00:00Z,retail_buyer_15@paytm,ravistores@oksbi,3450,SUCCESS,CREDIT
UPI-REG-116,2026-02-17T10:00:00Z,retail_buyer_16@paytm,ravistores@oksbi,3600,SUCCESS,CREDIT
UPI-REG-117,2026-02-18T10:00:00Z,retail_buyer_17@paytm,ravistores@oksbi,3750,SUCCESS,CREDIT
